slant_range_m,pitch_deg,median_err_m,n,kind
25.0,0.0,1.08,12,sim
25.0,20.0,NaN,0,sim
25.0,30.0,NaN,0,sim
25.0,50.0,NaN,0,sim
25.0,60.0,NaN,0,sim
25.0,70.0,NaN,0,sim
25.0,80.0,NaN,0,sim
50.0,0.0,1.92,18,sim
50.0,20.0,NaN,0,sim
50.0,30.0,NaN,0,sim
50.0,50.0,2.62,6,sim
50.0,60.0,NaN,0,sim
50.0,70.0,NaN,0,sim
50.0,80.0,NaN,0,sim
75.0,0.0,2.94,18,sim
75.0,20.0,NaN,0,sim
75.0,30.0,1.99,6,sim
75.0,50.0,NaN,0,sim
75.0,60.0,NaN,0,sim
75.0,70.0,NaN,0,sim
75.0,80.0,NaN,0,sim
100.0,0.0,12.37,6,sim
100.0,20.0,3.09,6,sim
100.0,30.0,NaN,0,sim
100.0,50.0,NaN,0,sim
100.0,60.0,5.09,6,sim
100.0,70.0,5.94,6,sim
100.0,80.0,NaN,0,sim
125.0,0.0,3.11,18,sim
125.0,20.0,2.92,6,sim
125.0,30.0,NaN,0,sim
125.0,50.0,2.82,6,sim
125.0,60.0,NaN,0,sim
125.0,70.0,NaN,0,sim
125.0,80.0,NaN,0,sim
150.0,0.0,NaN,0,sim
150.0,20.0,NaN,0,sim
150.0,30.0,3.71,6,sim
150.0,50.0,NaN,0,sim
150.0,60.0,NaN,0,sim
150.0,70.0,NaN,0,sim
150.0,80.0,NaN,0,sim
175.0,0.0,3.87,18,sim
175.0,20.0,NaN,0,sim
175.0,30.0,NaN,0,sim
175.0,50.0,NaN,0,sim
175.0,60.0,5.44,6,sim
175.0,70.0,11.89,6,sim
175.0,80.0,10.67,6,sim
200.0,0.0,NaN,0,sim
200.0,20.0,NaN,0,sim
200.0,30.0,NaN,0,sim
200.0,50.0,7.68,6,sim
200.0,60.0,NaN,0,sim
200.0,70.0,NaN,0,sim
200.0,80.0,NaN,0,sim
275.0,0.0,NaN,0,sim
275.0,20.0,NaN,0,sim
275.0,30.0,NaN,0,sim
275.0,50.0,NaN,0,sim
275.0,60.0,NaN,0,sim
275.0,70.0,14.87,6,sim
275.0,80.0,12.24,12,sim
300.0,0.0,NaN,0,sim
300.0,20.0,NaN,0,sim
300.0,30.0,NaN,0,sim
300.0,50.0,NaN,0,sim
300.0,60.0,10.79,6,sim
300.0,70.0,NaN,0,sim
300.0,80.0,NaN,0,sim
